"","pred_AIRG_1","pred_Chol_1","pred_DI_1","pred_DI30_1","pred_II_1","pred_Ins0_1","pred_Ins30_1","pred_SG_1","pred_SI_1","pred_AIRG_2","pred_Chol_2","pred_DI_2","pred_DI30_2","pred_II_2","pred_Ins0_2","pred_Ins30_2","pred_SG_2","pred_SI_2"
"mcc",9914.03195430854,4.14589641898915,26858.3496004636,2414.63586180721,59.1335713838985,89.5411969967348,918.278927943875,0.0266070232229558,2.82804338420289,8104.71333459381,4.22131679528402,27361.2864864481,2782.36978290131,34.5751075594503,49.5230559901027,607.844108679774,0.0261687684398,4.26049349737759
"mcgg",5189.82156038351,3.92154969240484,19917.3827391447,2729.69702906399,29.8349100369212,50.1997571449297,652.933433355857,0.0202965574321979,6.8802664560651,3846.6917589856,3.74019684495328,20878.2659250846,3088.07941053761,22.6370851249321,21.8538387649576,424.785203327408,0.02013543266976,8.31714107154644
"ccg",5483.68461021595,3.77640344528926,23093.811452857,3711.40319516463,26.4704958437925,50.4242723402495,613.832080417548,0.0217730074671813,7.31239146531872,6526.43316936176,4.11016983031677,27994.8427494111,3269.22659119592,31.1936985000657,20.0987264825645,383.093832681414,0.0237889569859415,7.71621548602629
"cgg",8349.60040580821,4.20320980197638,27572.0636392447,2773.35414312064,37.3175757652312,65.0170647669046,899.495987503558,0.0255595113000582,4.35698481038926,6297.2973916659,3.86761409559368,21308.8777148357,2819.02191172571,40.3550491046462,54.5003143507076,761.68192445039,0.0255813220312907,4.56288236491873
