"","AIRG_B_1","Chol_B_1","DI_B_1","DI30_B_1","insIndex_B_1","Ins0_B_1","Ins30_B_1","SG_B_1","SI_B_1","AIRG_B_2","Chol_B_2","DI_B_2","DI30_B_2","insIndex_B_2","Ins0_B_2","Ins30_B_2","SG_B_2","SI_B_2"
"mcc",6327.41439447093,3.8929320490594,27299.591226564,3754.15850914557,21.4401440334576,69.5251215109492,627.899815606579,0.0239033247923665,7.39100591007202,4771.70712172155,3.91441675193012,30298.7021942879,4028.25797492153,17.4921939191559,28.9493737929484,307.527406977324,0.025878308977271,9.69817124677305
"mcgg",5643.27468669221,3.91911343129846,19308.6623385652,3209.40366185118,28.1752165290099,44.8757276559174,846.616349657974,0.0207929362559784,4.86716218243007,4972.52884824609,3.77300101240543,20483.610194511,3245.92545280901,23.1425414670406,25.8400270633598,624.704266124331,0.0215571768314237,6.31084608473248
"ccg",4465.78049197923,3.62641773797345,21253.6903335034,3998.20647121204,21.0023332026046,50.5268838034957,612.083194619639,0.0210375274285347,7.67083741030297,3369.59781616685,3.57065882984637,21798.610896432,4079.15716777645,17.0183161859122,23.5610499044324,404.540209879434,0.0217381162992277,8.95029638803394
"cgg",8644.02835929749,4.34264548807388,29553.3440829573,2733.61531136178,30.2698495697524,61.4556000837764,862.922923744722,0.0255771660419055,4.53741863988456,7735.15434149509,4.29854129622686,32375.9009427827,2948.15666910721,26.3696763545591,37.7892387006813,607.061809320208,0.0270058698633635,6.53819176231666
