AIRG_1,Chol_1,DI_1,II_1,Ins0_1,Ins30_1,DI30_1,SG_1,SI_1,AIRG_2,Chol_2,DI_2,II_2,Ins0_2,Ins30_2,DI30_2,SG_2,SI_2
4465.780492,3.626417738,21253.69033,21.0023332,50.5268838,612.0831946,3998.206471,0.021037527,7.67083741,3369.597816,3.57065883,21798.6109,17.01831619,23.5610499,404.5402099,4079.157168,0.021738116,8.950296388
7671.843031,4.173502368,26322.3854,39.0081261,51.65295426,630.5168131,3014.174918,0.023495751,6.261884882,5999.406603,4.032460436,27022.72622,29.27952525,19.68629447,385.2190726,3439.198838,0.023495751,7.960982889
8644.028359,4.342645488,29553.34408,30.26984957,61.45560008,862.9229237,2733.615311,0.025577166,4.53741864,7735.154341,4.298541296,32375.90094,26.36967635,37.7892387,607.0618093,2948.156669,0.02700587,6.538191762
7382.454931,3.87411695,22275.59012,57.82392942,75.50089906,973.0587485,2834.945845,0.025322248,3.904340607,6531.870245,3.902976012,23095.09357,42.38528421,53.74006203,747.3475786,2872.802284,0.025322248,4.869583683
