AIRG_1,Chol_1,DI_1,II_1,Ins0_1,Ins30_1,DI30_1,SG_1,SI_1,AIRG_2,Chol_2,DI_2,II_2,Ins0_2,Ins30_2,DI30_2,SG_2,SI_2
6327.414394,3.892932049,27299.59123,21.44014403,69.52512151,627.8998156,3754.158509,0.023903325,7.39100591,4771.707122,3.914416752,30298.70219,17.49219392,28.94937379,307.527407,4028.257975,0.025878309,9.698171247
9290.549666,4.104991913,26823.81857,57.05195633,87.03438901,885.533202,2740.007864,0.026226722,3.589386917,7523.743151,4.167868548,27853.907,35.98483775,46.85295547,569.7593741,3096.919601,0.026226722,5.227194656
5643.274687,3.919113431,19308.66234,28.17521653,44.87572766,846.6163497,3209.403662,0.020792936,4.867162182,4972.528848,3.773001012,20483.61019,23.14254147,25.84002706,624.7042661,3245.925453,0.021557177,6.310846085
5238.257995,3.926209493,19768.62547,29.79038444,47.88198007,685.5944334,2825.756576,0.019982823,6.51176168,4071.449686,3.753290339,20740.9444,23.26103265,22.3061889,468.4154534,3111.351185,0.019982823,7.903748189
